node_id,choice_id,choice_text,next_node,choice_explanation,tooltip_info,
courier_start,A,Accept the suitcase and the money,courier_security,"The money you've been offered is significant, and the suitcase looks innocent. But the risk is severe - drug trafficking is severely punished  in Peru.",Accepting unknown luggage is extremely risky. Drug traffickers use unwitting couriers. Detection rate at airports: 30%.,
courier_start,B,Refuse politely and walk away,courier_refuse_detained,Refusing seems safest. But the interaction made you nervous. Nervous behavior attracts security attention.,Even refusing can lead to detention if you appear suspicious. Airport security treats everyone as potential threat.,
courier_security,A,Go through security with the suitcase,courier_detected,Hope security doesn't check thoroughly. Many people get through. But dogs are active today.,"Drug dogs detect cocaine with 70% accuracy. If caught, possession with intent = 8-15 years in Peru.",
courier_security,B,Dump suitcase in bathroom, keep the $500,courier_threats_extortion,Get rid of evidence but keep the money. They'll never know. Or will they?,Traffickers track their merchandise. Taking payment without delivering creates 'debt' they will collect violently.
courier_security,C,Report suitcase to airport authorities,courier_report_suspicion,This is the 'right' thing to do. But authorities may treat you as suspect anyway.,Reporting suspicious items should protect you but often results in hours of questioning and suspicion. System disincentivizes reporting.,
courier_detected,A,Confess immediately and cooperate,courier_confess_cooperate,"Tell the police everything - the stranger, the offer, the money. Cooperation reduces sentence but has risks.",Cooperation can reduce 8-15 year sentence by 40-50%. But testimony is public - organizations know who informed.,
courier_detected,B,Deny knowledge, claim you were tricked,courier_deny_harsher,Deny everything. Say you didn't know about the drugs. They must have planted them.,"With CCTV evidence of you accepting money and suitcase, denial is difficult. Courts view it as consciousness of guilt."
dealer_start,A,Accept the dealing job,dealer_street,"Asylum allowance cannot sustain life in Stockholm. Housing, food, basic needs are impossible. Economic desperation drives many street dealers.",Dealing cocaine: 2-10 years in Sweden. Automatic deportation for non-citizens. No legal defense for economic need.,
dealer_start,B,Refuse and seek legal alternatives,dealer_alternatives,"Legal alternatives offer minimal support. Social services are limited, and informal work is exploitative and illegal. Asylum wait averages 3-4 years.",Asylum processing: 3-4 years average. Work prohibited. Daily allowance insufficient. Social services have limited mandate.,
dealer_street,A,Work the street corner,dealer_police_encounter,High visibility = high risk. Police patrol Södermalm hourly. But immediate income is critical for survival.,Street corner dealing detected in 70-80% of cases. Conviction rate >90%. Sentence: 2-4 years for small quantities.,
dealer_street,B,Delivery service only,dealer_surveillance_arrest,Phone and bicycle seem safer but Swedish police monitor digital trails extensively. Surveillance can last months before arrest.,"Digital surveillance: phone monitoring, GPS tracking, location patterns. Evidence collection period: 2-4 months before arrest.",
dealer_street,C,Try to quit dealing,dealer_supplier_violence,Suppliers use debt and violence to prevent exit. 'Fronted' drugs create manufactured debt. Quitting means retaliation.,Supplier violence common (40% of dealers experience it). Debt bondage recognized as trafficking but rarely prosecuted.,
dealer_police_encounter,A,Run from police,dealer_caught_sentenced,Running adds obstruction charges (3-12 months). Arrest is inevitable. Longer sentence guaranteed.,Obstruction: +3-12 months to sentence. Flight = admission of guilt in Swedish courts. Deportation automatic.,
dealer_police_encounter,B,Cooperate and inform,dealer_inform_deportation,Cooperation can reduce sentence by 50%. But requires substantial information. Suppliers retaliate. Deportation still happens.,Sentence reduction possible (50%) but deportation automatic for non-citizens. Witness protection limited for non-citizens.,
dealer_alternatives,A,Report to social services,dealer_social_services_limited,Social services offer emergency shelter (2 weeks max) and food support. Cannot increase allowance or grant work permits. Limited help.,"Emergency support: temporary shelter, food vouchers. Cannot authorize work. Cannot increase asylum allowance.",
dealer_alternatives,B,Accept informal work,dealer_informal_exploitation,Informal work pays 50-70 SEK/hour vs. 180 SEK minimum. Illegal employment. Exploitation common. Risks asylum rejection if caught.,Illegal employment jeopardizes asylum claim. No legal protections. Wage theft common. Workplace injury unreported.,
transporter_start,A,Accept the bribe and deliver,transporter_delivery,"$2,000 is three months salary. You need the money. Many drivers have done this successfully.",Drug trafficking transportation = 8-20 years. First delivery often leads to forced continued participation.,
transporter_start,B,Refuse and report to authorities,transporter_report,This is dangerous and illegal. You should report it. But reporting has risks too.,Reporting to corrupt port police dangerous. Federal police safer but slower. Witness protection inadequate.,
transporter_start,C,Take merchandise for yourself,transporter_theft_retaliation,Accept the cash but keep the drugs to sell yourself. Risky but potentially huge profit.,Stealing from cartels is extremely dangerous. >90% of people who steal merchandise are killed.,
transporter_delivery,A,Continue to destination hoping checkpoint waves you through,transporter_successful_trapped,Many trucks pass through without inspection. Maybe you'll get lucky.,Checkpoint may wave you through. But first successful delivery often leads to forced continued participation.,
transporter_delivery,B,"Stop at checkpoint, cooperate if searched",transporter_caught_cooperate,"If they search, tell the police everything. Cooperation might reduce sentence.",Cooperation reduces 8-15 year sentence by 50-70%. But testimony creates retaliation risk. Witness protection inadequate.,
transporter_delivery,C,Abandon truck on highway and run,transporter_fugitive_hunted,Run before the checkpoint. Abandon the truck with the drugs. Escape.,"Fleeing creates fugitive status. Organization will hunt you for the lost merchandise, and you will receive worse charges if caught.",
transporter_report,A,Report to port police,transporter_police_corruption,Port police are nearby. Report quickly and hope they investigate.,Port police 30-40% corrupt. Reporting to them often warns traffickers. Retaliation risk high.,
transporter_report,B,Report to federal police,transporter_federal_investigation,Call DIRANDRO. They're cleaner than port police but investigations take time.,"DIRANDRO, the federal police force, is  less corrupt. Investigations take at least  4 months, with minimal protections for witnessesl ($300/month). ",
wholesaler_start,A,Bribe a port worker to retrieve it,wholesaler_bribe,"Port worker has access, knows procedures. $5,000 but potentially safer than doing it yourself.","Worker could deliver, be undercover cop, or steal package. Bribery adds 2-4 years if caught.",
wholesaler_start,B,Use fake credentials yourself,wholesaler_credentials,Fake ID and uniform. Risky but cheaper. You control the operation.,Fake documents = 2-6 years additional. ID detection likely means immediate arrest.,
wholesaler_start,C,Hire desperate undocumented migrant,wholesaler_migrant_caught,"Pay migrant $500 to retrieve it. If caught, they take the fall, not you.",Exploiting vulnerable person = human trafficking charges (4-8 years additional). Migrant will inform on you.,
wholesaler_bribe,A,"Worker delivers successfully, you pay him",wholesaler_successful_expanding,He delivers as promised. You now have 50kg to distribute. Operation begins.,Success leads to expansion. Larger operations attract more surveillance. Eventual arrest probability >85%.,
wholesaler_bribe,B,Police raid - worker was undercover,wholesaler_sting_arrested,Worker was Guardia Civil undercover. Police have everything recorded. You're surrounded.,Sting operations >95% conviction rate. Evidence overwhelming. Sentence: 12-18 years minimum.,
wholesaler_bribe,C,Worker stole package and disappeared,wholesaler_worker_theft,"Worker took the 50kg and vanished. You have lost your organisation $500,000. They're not sympathetic.",,
wholesaler_credentials,A,ID clears and you retrieve package,wholesaler_retrieved_continued,"Credentials work. You get the 50kg. But now this option is burned, and you will not be able to use these papers again. ",Each success builds evidence. Police surveil for months before arrest. Multiple operations = 15-25 years.,
wholesaler_credentials,B,ID flagged and security detains you,wholesaler_credentials_caught,The system flagged the fake ID. Security detains you immediately. Police arrive and search the car.,Attempt/conspiracy sufficient for prosecution. Fake documents add time. Sentence: 6-10 years.,
producer_start,A,Tell boss you're quitting,producer_boss,Direct approach. Be honest about wanting to leave. Maybe he'll understand.,"Boss response unpredictable: peaceful departure (rare), forced continuation (common), or execution (example-setting).",
producer_start,B,Report lab to authorities,producer_report,"Call the prosecutor, report the lab, and hope for protection. Get out through the legal system.",Witness protection underfunded. If cartel discovers you reported: death. Informant killings ~200/year in Colombia.,
producer_start,C,Abandon lab without notice,producer_flee,Just disappear one day. Don't tell anyone. Try to start over elsewhere.,Cartel treats desertion as betrayal. Networks everywhere. If caught: severe punishment or death.,
producer_boss,A,Boss lets you leave peacefully,producer_left_hunted,"Go. But you never saw this place. If you talk, I'll find you.'  You receive periodic check-ins to ensure you're not still cooking. ",Allowed to leave but under permanent surveillance. Intimidation continues. One wrong word = death.,
producer_boss,B,Boss forces you to stay,producer_forced_continue,'You leave when I say. Maybe next year.' Trapped. Continue working with toxic chemicals.,"Health deteriorates from chemical exposure. When too sick to work, discarded. Permanent health damage likely.",
producer_boss,C,Boss kills you as example,producer_execution_example,'You know I can't let you leave.' Shoots you. Body left for other workers to see.,,
producer_report,A,"Police raid successful, you're protected",producer_witness_protection,"Raid succeeds. Witness protection relocates you to Bogotá. New identity, $500/month for 6 months.",Protection ends after 6 months. No transferable skills. Permanent income reduction 50-70%.,
producer_report,B,Cartel discovers you reported,producer_traitor_killed,Someone saw you call. Or your absence during the raid was just too convenient. You know they know. ,,
producer_flee,A,Successfully disappear to Venezuela,producer_fugitive_disappeared,"Flee to Venezuela. New identity, no contact with your family. Work construction in Caracas under fake name.",,
producer_flee,B,Cartel enforcers find you,producer_caught_punishment,"It takes one week for them to find you. Sooner than you thought possible, you are back working at the kitchen. ",,
farmer_start,A,Plant coca for higher income,farmer_coca_01,Coca earns $400-600/month vs coffee's $150-200. About 60% of farmers in these regions grow coca.,Cultivation linked to production: 8-15 years (Peru Article 296),
farmer_start,B,Stick with legal coffee,farmer_coffee_01,Coffee farming provides legal stability but means living below poverty line at ~$150-200/month.,Legal but economically difficult - many switch to coca within 3-5 years,
farmer_coca_01,A,Sell to the middleman,farmer_coca_sell_02,About 75% of coca farmers sell to intermediaries without processing involvement.,Selling coca for cocaine production = 8-15 years minimum (Peru Article 296),
farmer_coca_01,B,Get ENACO permits for legal coca,farmer_enaco_permits_bureaucracy,ENACO holds state monopoly on legal coca. Permits are difficult to obtain and pay below market rates.,"Legal coca is possible but restricted. Bolivia allows 22,000 hectares; Peru's system is more limited.",
farmer_coca_01,C,Report the cocaine lab to authorities,farmer_informant_witness_protection,Cooperation with authorities is rare - under 15% of farmers report suspicious activity.,Witness protection exists but rural reintegration is difficult. Informants face retaliation risk.,
farmer_coca_sell_02,A,Hide your crop and hope they miss it,farmer_hide_crop_arrested,Some farmers attempt concealment. Detection methods include aerial surveillance and local intelligence.,Hiding illegal crops is common but risky. Detection often leads to criminal charges.,
farmer_coca_sell_02,B,Accept eradication and replant elsewhere,farmer_eradication_accepted_poverty,"Many farmers accept eradication to avoid confrontation, then relocate cultivation to remote areas.",Forced eradication without alternatives often leads to relocation of cultivation rather than cessation.,
farmer_coca_sell_02,C,Resist the eradication team,farmer_resist_eradication,Armed resistance occurs in some regions. Confrontations have resulted in deaths on both sides.,"Resistance can lead to terrorism charges. 47 deaths in Peru 2010-2020, 13 in Colombia 2019-2022.",
farmer_coffee_01,A,Take a loan from the local merchant,farmer_coffee_loan_02,Informal lending is the only credit available for most rural farmers. Interest rates are high.,Informal loans often have 10-20% monthly interest. Collateral is typically land.,
farmer_coffee_01,B,Join a cooperative with other farmers,farmer_cooperative_survival,Cooperatives provide collective bargaining and reduce dependence on intermediaries.,About 30% of cooperatives succeed long-term. Success correlates with external support and market access.,
farmer_coffee_01,C,Migrate to the city,farmer_urban_migration,About 25% of farmers in coca-growing regions eventually migrate to urban areas.,Migration driven by agricultural unprofitability. Urban informal work offers different but persistent poverty.,
farmer_coffee_loan_02,A,Switch to coca to pay off the debt,farmer_coca_01,Studies show ~55% of indebted farmers switch to coca within 3 years.,Debt is a primary driver of coca cultivation. Creates cycle between creditors and enforcement.,
farmer_coffee_loan_02,B,Default on the loan and lose your land,farmer_loan_default_landless,Land seizure through debt is common. Former farmland is often used for coca by new owners.,Informal lending lacks legal protection for borrowers. Debt default usually means losing land.,
farmer_coffee_loan_02,C,Enroll in alternative development program,farmer_altdev_waiting,"Programs provide $1,000-2,000 over 2 years. Alternative crops take 3-5 years to produce.",Payment delays are common (6-12 months). Only 30% remain in legal crops after 5 years.,