node_id,choice_id,choice_text,next_node,choice_explanation,tooltip_info
farmer_start,A,Plant coca for higher income,farmer_coca_01,"Coca earns $400-600/month vs coffee's $150-200. About 60% of farmers in these regions grow coca.","Cultivation linked to production: 8-15 years (Peru Article 296)"
farmer_start,B,Stick with legal coffee,farmer_coffee_01,"Coffee farming provides legal stability but means living below poverty line at ~$150-200/month.","Legal but economically difficult - many switch to coca within 3-5 years"
farmer_coca_01,A,Sell to the middleman,farmer_coca_sell_02,"About 75% of coca farmers sell to intermediaries without processing involvement.","Selling coca for cocaine production = 8-15 years minimum (Peru Article 296)"
farmer_coca_01,B,Get ENACO permits for legal coca,farmer_enaco_permits_bureaucracy,"ENACO holds state monopoly on legal coca. Permits are difficult to obtain and pay below market rates.","Legal coca is possible but restricted. Bolivia allows 22,000 hectares; Peru's system is more limited."
farmer_coca_01,C,Report the cocaine lab to authorities,farmer_informant_witness_protection,"Cooperation with authorities is rare - under 15% of farmers report suspicious activity.","Witness protection exists but rural reintegration is difficult. Informants face retaliation risk."
farmer_coca_sell_02,A,Hide your crop and hope they miss it,farmer_hide_crop_arrested,"Some farmers attempt concealment. Detection methods include aerial surveillance and local intelligence.","Hiding illegal crops is common but risky. Detection often leads to criminal charges."
farmer_coca_sell_02,B,Accept eradication and replant elsewhere,farmer_eradication_accepted_poverty,"Many farmers accept eradication to avoid confrontation, then relocate cultivation to remote areas.","Forced eradication without alternatives often leads to relocation of cultivation rather than cessation."
farmer_coca_sell_02,C,Resist the eradication team,farmer_resist_eradication,"Armed resistance occurs in some regions. Confrontations have resulted in deaths on both sides.","Resistance can lead to terrorism charges. 47 deaths in Peru 2010-2020, 13 in Colombia 2019-2022."
farmer_coffee_01,A,Take a loan from the local merchant,farmer_coffee_loan_02,"Informal lending is the only credit available for most rural farmers. Interest rates are high.","Informal loans often have 10-20% monthly interest. Collateral is typically land."
farmer_coffee_01,B,Join a cooperative with other farmers,farmer_cooperative_survival,"Cooperatives provide collective bargaining and reduce dependence on intermediaries.","About 30% of cooperatives succeed long-term. Success correlates with external support and market access."
farmer_coffee_01,C,Migrate to the city,farmer_urban_migration,"About 25% of farmers in coca-growing regions eventually migrate to urban areas.","Migration driven by agricultural unprofitability. Urban informal work offers different but persistent poverty."
farmer_coffee_loan_02,A,Switch to coca to pay off the debt,farmer_coca_01,"Studies show ~55% of indebted farmers switch to coca within 3 years.","Debt is a primary driver of coca cultivation. Creates cycle between creditors and enforcement."
farmer_coffee_loan_02,B,Default on the loan and lose your land,farmer_loan_default_landless,"Land seizure through debt is common. Former farmland is often used for coca by new owners.","Informal lending lacks legal protection for borrowers. Debt default usually means losing land."
farmer_coffee_loan_02,C,Enroll in alternative development program,farmer_altdev_waiting,"Programs provide $1,000-2,000 over 2 years. Alternative crops take 3-5 years to produce.","Payment delays are common (6-12 months). Only 30% remain in legal crops after 5 years."